ticker,name,sector,asset_class,market_value,weight_pct,notional_value,quantity,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etf,index
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,,1.7,,"5,155,688.00",258.64,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,,0.91,,"3,807,054.00",188.29,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
STRL,STERLING INFRASTRUCTURE INC,Industrials,Equity,,0.73,,"703,777.00",811.41,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
FN,FABRINET,Information Technology,Equity,,0.68,,"852,240.00",626.12,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
CDE,COEUR MINING INC,Materials,Equity,,0.55,,"24,083,504.00",18.12,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
SITM,SITIME CORP,Information Technology,Equity,,0.54,,"530,816.00",797.31,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
NXT,NEXTPOWER INC CLASS A,Industrials,Equity,,0.53,,"3,440,589.00",120.86,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,,0.5,,"3,197,348.00",122.62,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
IONQ,IONQ INC,Information Technology,Equity,,0.49,,"8,140,509.00",47.68,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
TTMI,TTM TECHNOLOGIES INC,Information Technology,Equity,,0.47,,"2,415,141.00",153.77,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
MOD,MODINE MANUFACTURING,Industrials,Equity,,0.42,,"1,235,696.00",269.65,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
RMBS,RAMBUS INC,Information Technology,Equity,,0.41,,"2,548,820.00",126.6,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,,0.4,,"889,411.00",351.94,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
SANM,SANMINA CORP,Information Technology,Equity,,0.38,,"1,259,201.00",237.09,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
DY,DYCOM INDUSTRIES INC,Industrials,Equity,,0.37,,"688,589.00",426.36,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
VIAV,VIAVI SOLUTIONS INC,Information Technology,Equity,,0.35,,"5,441,412.00",51.05,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
HL,HECLA MINING,Materials,Equity,,0.34,,"14,980,436.00",18.07,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology,Equity,,0.34,,"1,797,013.00",150.43,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
GH,GUARDANT HEALTH INC,Health Care,Equity,,0.34,,"2,926,588.00",92.26,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
SMTC,SEMTECH CORP,Information Technology,Equity,,0.34,,"2,196,274.00",121.5,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
FORM,FORMFACTOR INC,Information Technology,Equity,,0.34,,"1,837,827.00",144.68,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
BBIO,BRIDGEBIO PHARMA INC,Health Care,Equity,,0.32,,"3,736,616.00",67.45,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,,0.32,,"3,188,585.00",77.95,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,Equity,,0.31,,"1,558,256.00",157.55,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,,0.31,,"4,263,784.00",57.0,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
HUT,HUT CORP,Information Technology,Equity,,0.3,,"2,314,934.00",101.18,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
SPXC,SPX TECHNOLOGIES INC,Industrials,Equity,,0.3,,"1,135,962.00",205.27,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
APLD,APPLIED DIGITAL CORP,Information Technology,Equity,,0.3,,"5,610,941.00",41.53,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
ENSG,ENSIGN GROUP INC,Health Care,Equity,,0.29,,"1,321,491.00",174.3,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
PL,PLANET LABS CLASS A,Industrials,Equity,,0.29,,"6,387,403.00",35.24,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
UMBF,UMB FINANCIAL CORP,Financials,Equity,,0.29,,"1,714,939.00",131.17,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
GTLS,CHART INDUSTRIES INC,Industrials,Equity,,0.28,,"1,066,026.00",207.39,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
AGX,ARGAN INC,Industrials,Equity,,0.28,,"316,418.00",690.0,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Equity,,0.27,,"402,926.00",534.86,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
AXSM,AXSOME THERAPEUTICS INC,Health Care,Equity,,0.27,,"975,658.00",220.22,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
FCFS,FIRSTCASH HOLDINGS INC,Financials,Equity,,0.27,,"935,822.00",224.89,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
SNEX,STONEX GROUP INC,Financials,Equity,,0.27,,"1,736,726.00",120.9,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
MOGA,MOOG INC CLASS A,Industrials,Equity,,0.27,,"663,105.00",316.29,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,,0.27,,"4,226,632.00",49.6,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
CTRE,CARETRUST REIT INC,Real Estate,Equity,,0.27,,"5,302,672.00",39.5,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
CYTK,CYTOKINETICS INC,Health Care,Equity,,0.27,,"2,814,053.00",74.29,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
OKLO,OKLO INC CLASS A,Utilities,Equity,,0.26,,"2,878,131.00",71.83,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
POWL,POWELL INDUSTRIES INC,Industrials,Equity,,0.26,,"675,318.00",305.93,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
ESE,ESCO TECHNOLOGIES INC,Industrials,Equity,,0.26,,"612,616.00",332.77,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,Equity,,0.26,,"608,489.00",333.28,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
ONB,OLD NATIONAL BANCORP,Financials,Equity,,0.25,,"8,249,213.00",24.18,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
RIOT,RIOT PLATFORMS INC,Information Technology,Equity,,0.25,,"8,237,063.00",24.11,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
WULF,TERAWULF INC,Information Technology,Equity,,0.25,,"8,134,759.00",24.02,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
FLR,FLUOR CORP,Industrials,Equity,,0.25,,"3,799,245.00",51.08,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
ENS,ENERSYS,Industrials,Equity,,0.25,,"869,080.00",222.95,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
VSAT,VIASAT INC,Information Technology,Equity,,0.25,,"2,916,147.00",66.33,United States,NASDAQ,USD,1.0,USD,-,IWM,Russell 2000
LUMN,LUMEN TECHNOLOGIES INC,Communication,Equity,,0.24,,"22,493,930.00",8.46,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,,0.24,,"645,130.00",294.14,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
QBTS,D WAVE QUANTUM INC,Information Technology,Equity,,0.24,,"8,620,716.00",21.99,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
CMC,COMMERCIAL METALS,Materials,Equity,,0.24,,"2,629,365.00",70.52,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Equity,,0.23,,"3,541,560.00",51.05,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
GKOS,GLAUKOS CORP,Health Care,Equity,,0.22,,"1,317,169.00",134.15,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
ORA,ORMAT TECH INC,Utilities,Equity,,0.22,,"1,439,155.00",122.52,United States,NYSE,USD,1.0,USD,-,IWM,Russell 2000
