ticker,name,type,sector,asset_class,market_value,notional_value,quantity,price,location,exchange,currency,fx_rate,market_currency,accrual_date,market_weight,notional_weight,etf,index
FLEX,FLEX LTD,EQUITY,Information Technology,Equity,,,"12,431,891.00",133.01,United States,NASDAQ,USD,1.0,USD,-,1.41,1.41,IJH,S&P Mid-Cap 400
TWLO,TWILIO INC CLASS A,EQUITY,Information Technology,Equity,,,"5,126,319.00",197.07,United States,NYSE,USD,1.0,USD,-,0.86,0.86,IJH,S&P Mid-Cap 400
FTI,TECHNIPFMC PLC,EQUITY,Energy,Equity,,,"13,677,694.00",71.03,United States,NYSE,USD,1.0,USD,-,0.83,0.83,IJH,S&P Mid-Cap 400
NVT,NVENT ELECTRIC PLC,EQUITY,Industrials,Equity,,,"5,455,873.00",166.73,United States,NYSE,USD,1.0,USD,-,0.78,0.78,IJH,S&P Mid-Cap 400
CW,CURTISS WRIGHT CORP,EQUITY,Industrials,Equity,,,"1,246,606.00",724.43,United States,NYSE,USD,1.0,USD,-,0.77,0.77,IJH,S&P Mid-Cap 400
MTZ,MASTEC INC,EQUITY,Industrials,Equity,,,"2,073,969.00",412.27,United States,NYSE,USD,1.0,USD,-,0.73,0.73,IJH,S&P Mid-Cap 400
STRL,STERLING INFRASTRUCTURE INC,EQUITY,Industrials,Equity,,,"1,038,713.00",811.41,United States,NASDAQ,USD,1.0,USD,-,0.72,0.72,IJH,S&P Mid-Cap 400
UTHR,UNITED THERAPEUTICS CORP,EQUITY,Health Care,Equity,,,"1,455,888.00",569.18,United States,NASDAQ,USD,1.0,USD,-,0.71,0.71,IJH,S&P Mid-Cap 400
XPO,XPO INC,EQUITY,Industrials,Equity,,,"3,961,025.00",206.88,United States,NYSE,USD,1.0,USD,-,0.70,0.70,IJH,S&P Mid-Cap 400
P,EVERPURE INC CLASS A,EQUITY,Information Technology,Equity,,,"10,605,558.00",76.05,United States,NYSE,USD,1.0,USD,-,0.69,0.69,IJH,S&P Mid-Cap 400
ENTG,ENTEGRIS INC,EQUITY,Information Technology,Equity,,,"5,139,422.00",147.66,United States,NASDAQ,USD,1.0,USD,-,0.65,0.65,IJH,S&P Mid-Cap 400
FN,FABRINET,EQUITY,Information Technology,Equity,,,"1,211,393.00",626.12,United States,NYSE,USD,1.0,USD,-,0.65,0.65,IJH,S&P Mid-Cap 400
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,EQUITY,Information Technology,Equity,,,"2,181,237.00",344.47,United States,NASDAQ,USD,1.0,USD,-,0.64,0.64,IJH,S&P Mid-Cap 400
CRS,CARPENTER TECHNOLOGY CORP,EQUITY,Industrials,Equity,,,"1,684,206.00",445.14,United States,NYSE,USD,1.0,USD,-,0.64,0.64,IJH,S&P Mid-Cap 400
WWD,WOODWARD INC,EQUITY,Industrials,Equity,,,"2,015,717.00",370.77,United States,NASDAQ,USD,1.0,USD,-,0.64,0.64,IJH,S&P Mid-Cap 400
ATI,ATI INC,EQUITY,Industrials,Equity,,,"4,593,790.00",162.66,United States,NYSE,USD,1.0,USD,-,0.64,0.64,IJH,S&P Mid-Cap 400
ILMN,ILLUMINA INC,EQUITY,Health Care,Equity,,,"5,169,877.00",138.71,United States,NASDAQ,USD,1.0,USD,-,0.61,0.61,IJH,S&P Mid-Cap 400
