ticker,name,sector,asset_class,market_value,weight_pct,notional_value,quantity,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etf,index
NVDA,NVIDIA CORP,Information Technology,Equity,,8.17,,"314,594,047.00",211.5,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
AAPL,APPLE INC,Information Technology,Equity,,6.7,,"190,065,857.00",287.44,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
MSFT,MICROSOFT CORP,Information Technology,Equity,,4.96,,"96,134,073.00",420.77,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,,4.21,,"126,469,106.00",271.17,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
GOOGL,ALPHABET INC CLASS A,Communication,Equity,,3.68,,"75,373,084.00",397.99,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
AVGO,BROADCOM INC,Information Technology,Equity,,3.11,,"61,381,798.00",412.56,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
GOOG,ALPHABET INC CLASS C,Communication,Equity,,2.94,,"60,545,520.00",395.3,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
META,META PLATFORMS INC CLASS A,Communication,Equity,,2.14,,"28,315,794.00",616.81,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
TSLA,TESLA INC,Consumer Discretionary,Equity,,1.84,,"36,410,585.00",411.79,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,,1.38,,"23,739,969.00",475.08,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
JPM,JPMORGAN CHASE & CO,Financials,Equity,,1.31,,"34,905,716.00",306.27,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
LLY,ELI LILLY,Health Care,Equity,,1.23,,"10,258,910.00",974.96,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,,1.16,,"14,571,130.00",646.63,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,,1.06,,"21,107,750.00",408.46,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
XOM,EXXON MOBIL CORP,Energy,Equity,,0.97,,"54,102,386.00",146.58,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
WMT,WALMART INC,Consumer Staples,Equity,,0.91,,"56,751,131.00",130.2,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
V,VISA INC CLASS A,Financials,Equity,,0.86,,"21,763,851.00",321.28,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
JNJ,JOHNSON & JOHNSON,Health Care,Equity,,0.85,,"31,199,199.00",222.51,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
INTC,INTEL CORPORATION CORP,Information Technology,Equity,,0.82,,"60,786,592.00",109.62,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,,0.71,,"5,746,436.00",,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
CAT,CATERPILLAR INC,Industrials,Equity,,0.66,,"6,023,757.00",895.69,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
MA,MASTERCARD INC CLASS A,Financials,Equity,,0.65,,"10,543,385.00",500.94,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
NFLX,NETFLIX INC,Communication,Equity,,0.59,,"54,661,239.00",88.25,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,,0.58,,"51,151,870.00",92.16,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
ABBV,ABBVIE INC,Health Care,Equity,,0.57,,"22,881,056.00",202.71,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
LRCX,LAM RESEARCH CORP,Information Technology,Equity,,0.57,,"16,166,917.00",286.52,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
BAC,BANK OF AMERICA CORP,Financials,Equity,,0.56,,"85,904,447.00",52.75,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
CVX,CHEVRON CORP,Energy,Equity,,0.54,,"24,267,977.00",182.5,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
PG,PROCTER & GAMBLE,Consumer Staples,Equity,,0.54,,"30,087,154.00",146.06,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,,0.53,,"11,727,245.00",369.74,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
ORCL,ORACLE CORP,Information Technology,Equity,,0.52,,"21,953,165.00",194.59,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,,0.52,,"10,275,693.00",410.64,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
HD,HOME DEPOT INC,Consumer Discretionary,Equity,,0.51,,"12,888,130.00",322.64,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
GE,GE AEROSPACE,Industrials,Equity,,0.5,,"13,578,203.00",302.63,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,,0.5,,"29,573,544.00",137.05,United States,NASDAQ,USD,1.0,USD,-,IVV,S&P 500
KO,COCA-COLA,Consumer Staples,Equity,,0.48,,"50,120,778.00",78.43,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
GEV,GE VERNOVA INC,Industrials,Equity,,0.45,,"3,489,363.00",,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
MRK,MERCK & CO INC,Health Care,Equity,,0.44,,"32,132,926.00",112.3,United States,NYSE,USD,1.0,USD,-,IVV,S&P 500
