ATS NAME,ATS ID,FIRM NAME,6732 Exemption
"BGC FINANCIAL, L.P.",BGCX,"BGC FINANCIAL, L.P.",
BONDSPRO,BNDS,BONDS.COM LLC,
BOSONIC SECURITIES,BOSC,"BOSONIC SECURITIES, LLC",
BrokerTec,IEBC,BROKERTEC AMERICAS LLC,
BROKERTEC AMERICAS LLC,IEBD,BROKERTEC AMERICAS LLC,
"CBOE FIXED INCOME MARKETS, LLC",CFIM,"CBOE FIXED INCOME MARKETS, LLC",
CLARITY BIDRATE ALTERNATIVE TRADING SYSTEM,CLRT,"ARBOR RESEARCH & TRADING, LLC",
ClearList LLC,CLER,ClearList LLC,
Latium (LATG),LATG,GFI SECURITIES LLC,
DEALERWEB,DLWB,DEALERWEB INC.,
FENICS UST,FNCS,"BGC FINANCIAL, L.P.",
"FMX EXECUTION, LLC",FMXX,"FMX EXECUTION, LLC",
GBX (GFIG),GFIG,GFI SECURITIES LLC,
IBKR ATS,IATS,INTERACTIVE BROKERS LLC,
ICAP Trading Systems,GARE,TP ICAP Global Markets Americas LLC,
ICE BondPoint,VABD,ICE BONDS SECURITIES CORPORATION,Y
ICE TMC,TMCC,ICE Bonds Securities Corporation,Y
IDX Markets,IDXM,"IDX MARKETS, LLC",
Kopen Tech Capital Markets,KTCM,KOPENTECH CAPITAL MARKETS LLC,
LIQUIDNET FIXED INCOME ATS,LQNF,"LIQUIDNET, INC.",
MARKETAXESS ATS,MKAA,Live Markets,
MARKETAXESS CORPORATION,LQED,MARKETAXESS CORPORATION,
North Capital Private Securities Corporation,PPEX,"""Public Private Execution Network, PPEX or PPEX ATS""",
OASIS PRO MARKETS LLC,OPML,OASIS PRO MARKETS LLC,
Octaura Securities TradingCo LLC,OCTU,Octaura Securities TradingCo LLC,Y
OpenYield Trading,OYLD,OpenYield Trading LLC,Y
OTC LINK ATS,OTCL,OTC LINK LLC,
Securitize Markets ATS,SMKT,"SECURITIZE MARKETS, LLC",
SHARENETT ATS,SHNT,SHARENETT SECURITIES LLC,
TEXTURE ATS,TXTR,TEXTURE CAPITAL INC.,
TP ICAP Global Markets Americas LLC.,ICAP,TP ICAP Global Markets Americas LLC.,
TP Trading Systems,TPCD,TP ICAP Global Markets Americas LLC,
TRADEWEB DIRECT LLC,TWDA,TRADEWEB DIRECT LLC,Y
TRUMID ATS,TMID,TRUMID FINANCIAL LLC,Y
