title,type,url,local_file
Comments of joe lee,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-814240-2480609.html,00001_Comments_of_joe_lee.html
Comments of Scott S,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-814579-2481269.html,00002_Comments_of_Scott_S.html
Comments of John,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-814939-2481873.html,00003_Comments_of_John.html
Comments of Mary,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-814999-2481946.html,00004_Comments_of_Mary.html
Comments of Fardeen Irani,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-815079-2482054.html,00005_Comments_of_Fardeen_Irani.html
Comments of Timothy Ryan McCormack,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-815480-2482730.html,00006_Comments_of_Timothy_Ryan_McCormack.html
"Comments of US State Government Agencies, Telemetry",html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-815979-2484751.html,00007_Comments_of_US_State_Government_Agencies_Telemetry.html
s7202620-816519-2486611.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-816519-2486611.pdf,00008_s7202620-816519-2486611.pdf.pdf
Comments of Alex Zislin,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-819119-2495647.html,00009_Comments_of_Alex_Zislin.html
Comments of Donald Barry Smith Jr,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-820660-2503109.html,00010_Comments_of_Donald_Barry_Smith_Jr.html
s7202620-820899-2503568.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-820899-2503568.pdf,00011_s7202620-820899-2503568.pdf.pdf
Comments of Professor DR WISITH TUN-YHONG,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-821619-2510188.html,00012_Comments_of_Professor_DR_WISITH_TUN-YHONG.html
Comments of Jared Albert,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-825479-2527876.html,00013_Comments_of_Jared_Albert.html
Comments of Joe Kirchner,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-826060-2529246.html,00014_Comments_of_Joe_Kirchner.html
s7202620-827579-2531957.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-827579-2531957.pdf,00015_s7202620-827579-2531957.pdf.pdf
Comments of fardeen irani,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-829139-2537306.html,00016_Comments_of_fardeen_irani.html
s7202620-831659-2544033.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-831659-2544033.pdf,00017_s7202620-831659-2544033.pdf.pdf
s7202620-840359-2568811.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-840359-2568811.pdf,00018_s7202620-840359-2568811.pdf.pdf
Comments of @thecryptohulk (YouTube),html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-840439-2568867.html,00019_Comments_of_thecryptohulk_YouTube.html
s7202620-842399-2579842.pdf,direct_comment_file,https://www.sec.gov/comments/S7-2026-20/s7202620-842399-2579842.pdf,00020_s7202620-842399-2579842.pdf.pdf
"Comments of Thomas W. Brink, MD",html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-842519-2581147.html,00021_Comments_of_Thomas_W._Brink_MD.html
Comments of Steven Haworth,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-853279-2618971.html,00022_Comments_of_Steven_Haworth.html
Comments of Bhavith S,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-853739-2622220.html,00023_Comments_of_Bhavith_S.html
Comments of James Valmond,html_comment_page,https://www.sec.gov/comments/S7-2026-20/s7202620-855299-2631169.html,00024_Comments_of_James_Valmond.html
